;  CONO DALMATA-helado ; Helado de Miel  ; Heca ; 6,000 ; lt ; 4.400 ; 26.400 ; 264 
 AF21 ; AF-Creme brulee de foie gras-creme brulee- en volcan de loza ; Azúcar granulada rubia ; Fruton ; 0,300 ; kg ; 2.790 ; 837 ; 9 
 AF21 ; AF-Creme brulee de foie gras-creme brulee- en volcan de loza ; foie gras ; Chilar ; 2,000 ; kg ; 72.066 ; 144.132 ; 1.442 
 AF21 ; AF-Creme brulee de foie gras-creme brulee- en volcan de loza ; Gas soplete ; Paci y garcés ; 3,000 ; c/u ; 2.100 ; 6.300 ; 63 
 AF21 ; AF-Creme brulee de foie gras-creme brulee- en volcan de loza ; oporto ; CAMBIAR ; 0,330 ; botella ; 5.512 ; 1.819 ; 19 
 AF21 ; AF-Creme brulee de foie gras-creme brulee- en volcan de loza ; Coñac Tres Palos ; Escocia ; 0,330 ; botella ; 3.198 ; 1.055 ; 11 
 AF21 ; AF-Creme brulee de foie gras-creme brulee- en volcan de loza ; Nuez moscada en polvo ; Fruton ; 0,010 ; kg ; 26.990 ; 270 ; 3 
 AF21 ; AF-Creme brulee de foie gras-sesamo crocante ; Masa de Spring roll 25*25 ; Delicias y mas SpA ; 0,200 ; pqte ; 6.290 ; 1.258 ; 13 
 AF21 ; AF-Creme brulee de foie gras-sesamo crocante ; sésamo blanco ; MIGUEL FARIAS ; 0,100 ; kg ; 6.000 ; 600 ; 6 
 AF21 ; AF-Creme brulee de foie gras-sesamo crocante ; Huevos ; MIGUEL FARIAS ; 3,000 ; c/u ; 240 ; 720 ; 8 
 AF21 ; AF-Creme brulee de foie gras-sesamo crocante ; aceite ; Fruton ; 0,750 ; lt ; 3.450 ; 2.588 ; 26 
 AF21 ; AF-Creme brulee de foie gras-sesamo crocante ; Azúcar granulada rubia ; Fruton ; 0,100 ; kg ; 2.790 ; 279 ; 3 
; AF-Cristini rectángular de chancho en piedra ; tomate ; Fruton ; 0,500 ; kg ; 1.490 ; 745 ; 8 
; AF-Cristini rectángular de chancho en piedra ; Limon sutil ; Fruton ; 0,300 ; kg ; 2.490 ; 747 ; 8 
; AF-Cristini rectángular de chancho en piedra ; perejil ; Comercial Valencia ; 0,300 ; kg ; 1.980 ; 594 ; 6 
; AF-Cristini rectángular de chancho en piedra ; cilantro ; Fruton ; 0,200 ; kg ; 1.980 ; 396 ; 4 
; AF-Cristini rectángular de chancho en piedra ; cebolla ; Fruton ; 1,000 ; kg ; 690 ; 690 ; 7 
; AF-Cristini rectángular de chancho en piedra ; ají verde ; Fruton ; 0,350 ; kg ; 1.290 ; 452 ; 5 
; AF-Cristini rectángular de chancho en piedra ; ajo ; Comercial Valencia ; 0,250 ; c/u ; 450 ; 113 ; 2 
; AF-Cristini rectángular de chancho en piedra ; Aceite de oliva ; Arasil ; 0,300 ; lt ; 5.782 ; 1.735 ; 18 
; AF-Cristini rectángular de chancho en piedra-crostini rectangular ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
; AF-Cristini rectángular de chancho en piedra-crostini rectangular ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
; AF-Cristini rectángular de chancho en piedra-crostini rectangular ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
; AF-Cristini rectángular de chancho en piedra-crostini rectangular ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
 AF02G ; AF-Crostini de alcachofas y prosciutto ; Alcachofa fondo ; Miguel Farias ; 0,700 ; kg ; 6.090 ; 4.263 ; 43 
 AF02G ; AF-Crostini de alcachofas y prosciutto ; Queso parmesano en trozo ; Don Jaime ; 0,200 ; kg ; 12.524 ; 2.505 ; 26 
 AF02G ; AF-Crostini de alcachofas y prosciutto ; Tocino ahumado ; Delicias y mas SpA ; 0,250 ; kg ; 12.390 ; 3.098 ; 31 
 AF02G ; AF-Crostini de alcachofas y prosciutto-crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
 AF02G ; AF-Crostini de alcachofas y prosciutto-crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
 AF02G ; AF-Crostini de alcachofas y prosciutto-crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
 AF02G ; AF-Crostini de alcachofas y prosciutto-crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
; AF-Crostini de boquerones tomate y queso de cabra ; boquerones ; Cencosud Retail ; 0,300 ; c/u ; 2.390 ; 717 ; 8 
; AF-Crostini de boquerones tomate y queso de cabra ; Tomate ; Fruton ; 1,300 ; kg ; 1.490 ; 1.937 ; 20 
; AF-Crostini de boquerones tomate y queso de cabra ; queso de cabra ; artisan ; 0,500 ; kg ; 17.444 ; 8.722 ; 88 
; AF-Crostini de boquerones tomate y queso de cabra-crostini ; pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
; AF-Crostini de boquerones tomate y queso de cabra-crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
; AF-Crostini de boquerones tomate y queso de cabra-crostini ; Aceite de oliva ; Arasil ; 0,200 ; lt ; 5.782 ; 1.156 ; 12 
; AF-Crostini de camaron y pasta de aceitunas ; Aceitunas moradas ; Fruton ; 0,200 ; kg ; 5.200 ; 1.040 ; 11 
; AF-Crostini de camaron y pasta de aceitunas ; Aceite de oliva ; Arasil ; 0,150 ; lt ; 5.782 ; 867 ; 9 
; AF-Crostini de camaron y pasta de aceitunas ; Queso crema ; Delicias y mas SpA ; 0,250 ; kg ; 6.961 ; 1.740 ; 18 
; AF-Crostini de camaron y pasta de aceitunas ; Camarón 100/200 ; Southwind ; 0,960 ; kg ; 5.300 ; 5.088 ; 51 
; AF-Crostini de camaron y pasta de aceitunas ; Alcaparras ; Delicias y mas SpA ; 0,075 ; frasco ; 7.890 ; 592 ; 6 
; AF-Crostini de camaron y pasta de aceitunas-crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
; AF-Crostini de camaron y pasta de aceitunas-crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
; AF-Crostini de camaron y pasta de aceitunas-crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
; AF-Crostini de camaron y pasta de aceitunas-crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
; AF-Crostini de Charqui con queso de cabra ; Charqui ; cambiar ; 0,300 ; kg ; 24.794 ; 7.438 ; 75 
; AF-Crostini de Charqui con queso de cabra ; Queso de cabra ; artisan ; 0,250 ; kg ; 17.444 ; 4.361 ; 44 
; AF-Crostini de Charqui con queso de cabra ; Alcaparras ; Delicias y mas SpA ; 0,075 ; frasco ; 7.890 ; 592 ; 6 
; AF-Crostini de Charqui con queso de cabra ; Charqui ; cambiar ; 0,500 ; kg ; 24.794 ; 12.397 ; 124 
; AF-Crostini de Charqui con queso de cabra ; Queso de cabra ; artisan ; 0,500 ; kg ; 17.444 ; 8.722 ; 88 
; AF-Crostini de Charqui con queso de cabra ; Aceite de oliva ; Arasil ; 0,200 ; lt ; 5.782 ; 1.156 ; 12 
; AF-Crostini de Charqui con queso de cabra-crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
; AF-Crostini de Charqui con queso de cabra-crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
; AF-Crostini de Charqui con queso de cabra-crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
; AF-Crostini de Charqui con queso de cabra-crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
; AF-Crostini de Charqui con queso de cabra-crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
; AF-Crostini de Charqui con queso de cabra-crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
; AF-Crostini de Charqui con queso de cabra-crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
; AF-Crostini de Charqui con queso de cabra-crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
; AF-Crostini de Charqui con queso de cabra-mantequilla de romero ; Mantequilla ; Cabezas y cia ; 0,500 ; kg ; 8.391 ; 4.196 ; 42 
; AF-Crostini de Charqui con queso de cabra-mantequilla de romero ; romero ; Agromarket ; 0,100 ; atado ; 495 ; 50 ; 1 
; AF-Crostini de higos, mascarpone y prosciutto ; Higos secos ; MIGUEL FARIAS ; 0,700 ; kg ; 6.945 ; 4.862 ; 49 
; AF-Crostini de higos, mascarpone y prosciutto ; Azúcar ; Delicias y mas SpA ; 0,500 ; kg ; 1.300 ; 650 ; 7 
; AF-Crostini de higos, mascarpone y prosciutto ; Naranjas jugo ; Comercial Valencia ; 0,286 ; kg ; 1.690 ; 483 ; 5 
; AF-Crostini de higos, mascarpone y prosciutto ; Oporto ; CAMBIAR ; 0,286 ; botella ; 5.512 ; 1.575 ; 16 
; AF-Crostini de higos, mascarpone y prosciutto ; Queso crema ; Delicias y mas SpA ; 0,400 ; kg ; 6.961 ; 2.784 ; 28 
; AF-Crostini de higos, mascarpone y prosciutto ; Jamón crudo ; Globe Italia ; 0,500 ; kg ; 21.780 ; 10.890 ; 109 
; AF-Crostini de higos, mascarpone y prosciutto-crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
; AF-Crostini de higos, mascarpone y prosciutto-crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
; AF-Crostini de higos, mascarpone y prosciutto-crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
; AF-Crostini de higos, mascarpone y prosciutto-crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
; AF-Crostini de jamon serrano y pasta de aceitunas ; Aceitunas moradas ; Fruton ; 0,400 ; kg ; 5.200 ; 2.080 ; 21 
; AF-Crostini de jamon serrano y pasta de aceitunas ; Alcaparras ; Delicias y mas SpA ; 0,150 ; frasco ; 7.890 ; 1.184 ; 12 
; AF-Crostini de jamon serrano y pasta de aceitunas ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
; AF-Crostini de jamon serrano y pasta de aceitunas ; Jamón crudo ; Globe Italia ; 0,300 ; kg ; 21.780 ; 6.534 ; 66 
; AF-Crostini de jamon serrano y pasta de aceitunas-crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
; AF-Crostini de jamon serrano y pasta de aceitunas-crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
; AF-Crostini de jamon serrano y pasta de aceitunas-crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
; AF-Crostini de jamon serrano y pasta de aceitunas-crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
 AF02F ; AF-Crostini de jamon serrano y ricotta ; Jamón crudo ; Globe Italia ; 0,300 ; kg ; 21.780 ; 6.534 ; 66 
 AF02F ; AF-Crostini de jamon serrano y ricotta ; Ricotta ; Fruton ; 0,500 ; kg ; 6.890 ; 3.445 ; 35 
 AF02F ; AF-Crostini de jamon serrano y ricotta ; Ciboulette ; Fruton ; 1,000 ; c/u ; 165 ; 165 ; 2 
 AF02F ; AF-Crostini de jamon serrano y ricotta ; Rucula ; Comercial Johnson ; 0,100 ; kg ; 11.765 ; 1.177 ; 12 
 AF02F ; AF-Crostini de jamon serrano y ricotta-crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
 AF02F ; AF-Crostini de jamon serrano y ricotta-crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
 AF02F ; AF-Crostini de jamon serrano y ricotta-crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
 AF02F ; AF-Crostini de jamon serrano y ricotta-crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
 AF02A ; AF-Crostini de mousse de palta y camaron-crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
 AF02A ; AF-Crostini de mousse de palta y camaron-crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
 AF02A ; AF-Crostini de mousse de palta y camaron-crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
 AF02A ; AF-Crostini de mousse de palta y camaron-crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
 AF02A ; AF-Crostini de mousse de palta y camaron-deco ; Camarón 100/200 ; Southwind ; 0,840 ; kg ; 5.300 ; 4.452 ; 45 
 AF02A ; AF-Crostini de mousse de palta y camaron-deco ; Caviar ; siruc ; 0,500 ; frasco ; 41.000 ; 20.500 ; 205 
 AF02A ; AF-Crostini de mousse de palta y camaron-mousse de palta ; palta hass ; Palta royal ; 1,000 ; kg ; 4.000 ; 4.000 ; 40 
 AF02A ; AF-Crostini de mousse de palta y camaron-mousse de palta ; Limón ; Fruton ; 0,500 ; kg ; 1.590 ; 795 ; 8 
 AF02A ; AF-Crostini de mousse de palta y camaron-mousse de palta ; cebolla ; Fruton ; 0,150 ; kg ; 690 ; 104 ; 2 
 AF02A ; AF-Crostini de mousse de palta y camaron-mousse de palta ; Ciboulette ; Fruton ; 1,000 ; c/u ; 165 ; 165 ; 2 
 AF02A ; AF-Crostini de mousse de palta y camaron-mousse de palta ; colapez ; Chile Distribución ; 50,000 ; hojas ; 79 ; 3.950 ; 40 
 AF02A ; AF-Crostini de mousse de palta y camaron-mousse de palta ; Perejil ; Comercial Valencia ; 0,100 ; kg ; 1.980 ; 198 ; 2 
 AF02A ; AF-Crostini de mousse de palta y camaron-mousse de palta ; Crema ; Cabezas y cia ; 0,300 ; lt ; 3.721 ; 1.116 ; 12 
; AF-Crostini de mousse de palta y salmon-crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
; AF-Crostini de mousse de palta y salmon-crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
; AF-Crostini de mousse de palta y salmon-crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
; AF-Crostini de mousse de palta y salmon-crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
; AF-Crostini de mousse de palta y salmon-deco ; salmón ahumado ; Southwind ; 0,700 ; kg ; 18.500 ; 12.950 ; 130 
; AF-Crostini de mousse de palta y salmon-deco ; Caviar ; siruc ; 0,500 ; frasco ; 41.000 ; 20.500 ; 205 
; AF-Crostini de mousse de palta y salmon-mousse palta ; palta hass ; Palta royal ; 1,000 ; kg ; 4.000 ; 4.000 ; 40 
; AF-Crostini de mousse de palta y salmon-mousse palta ; Limón ; Fruton ; 0,500 ; kg ; 1.590 ; 795 ; 8 
; AF-Crostini de mousse de palta y salmon-mousse palta ; cebolla ; Fruton ; 0,150 ; kg ; 690 ; 104 ; 2 
; AF-Crostini de mousse de palta y salmon-mousse palta ; Ciboulette ; Fruton ; 1,000 ; c/u ; 165 ; 165 ; 2 
; AF-Crostini de mousse de palta y salmon-mousse palta ; Perejil ; Comercial Valencia ; 0,100 ; kg ; 1.980 ; 198 ; 2 
; AF-Crostini de mousse de palta y salmon-mousse palta ; Crema ; Cabezas y cia ; 0,300 ; lt ; 3.721 ; 1.116 ; 12 
; AF-Crostini de mousse de palta y salmon-mousse palta ; colapez ; Chile Distribución ; 50,000 ; hojas ; 79 ; 3.950 ; 40 
; AF-Crostini de mousse de palta, centolla y patita de centolla-Crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
; AF-Crostini de mousse de palta, centolla y patita de centolla-Crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
; AF-Crostini de mousse de palta, centolla y patita de centolla-Crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
; AF-Crostini de mousse de palta, centolla y patita de centolla-Crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
; AF-Crostini de mousse de palta, centolla y patita de centolla-Deco ; Centolla ensalada ; Granja Marina ; 0,900 ; kg ; 43.000 ; 38.700 ; 387 
; AF-Crostini de mousse de palta, centolla y patita de centolla-Deco ; Caviar ; siruc ; 0,500 ; frasco ; 41.000 ; 20.500 ; 205 
; AF-Crostini de mousse de palta, centolla y patita de centolla-Mousse de palta ; palta hass ; Palta royal ; 1,000 ; kg ; 4.000 ; 4.000 ; 40 
; AF-Crostini de mousse de palta, centolla y patita de centolla-Mousse de palta ; Limón ; Fruton ; 0,500 ; kg ; 1.590 ; 795 ; 8 
; AF-Crostini de mousse de palta, centolla y patita de centolla-Mousse de palta ; cebolla ; Fruton ; 0,150 ; kg ; 690 ; 104 ; 2 
; AF-Crostini de mousse de palta, centolla y patita de centolla-Mousse de palta ; Perejil ; Comercial Valencia ; 0,100 ; kg ; 1.980 ; 198 ; 2 
; AF-Crostini de mousse de palta, centolla y patita de centolla-Mousse de palta ; Ciboulette ; Fruton ; 1,000 ; c/u ; 165 ; 165 ; 2 
; AF-Crostini de mousse de palta, centolla y patita de centolla-Mousse de palta ; Crema ; Cabezas y cia ; 0,300 ; lt ; 3.721 ; 1.116 ; 12 
; AF-Crostini de mousse de palta, centolla y patita de centolla-Mousse de palta ; colapez ; Chile Distribución ; 50,000 ; hojas ; 79 ; 3.950 ; 40 
 AF02D ; AF-Crostini de paté, manzanas e higos-Chutney ; Higos secos ; MIGUEL FARIAS ; 0,300 ; kg ; 6.945 ; 2.084 ; 21 
 AF02D ; AF-Crostini de paté, manzanas e higos-Chutney ; azúcar ; Delicias y mas SpA ; 0,150 ; kg ; 1.300 ; 195 ; 2 
 AF02D ; AF-Crostini de paté, manzanas e higos-Chutney ; Manzana verde ; Fruton ; 0,900 ; kg ; 890 ; 801 ; 9 
 AF02D ; AF-Crostini de paté, manzanas e higos-Chutney ; Mantequilla ; Cabezas y cia ; 0,300 ; kg ; 8.391 ; 2.517 ; 26 
 AF02D ; AF-Crostini de paté, manzanas e higos-Chutney ; azúcar ; Delicias y mas SpA ; 0,300 ; kg ; 1.300 ; 390 ; 4 
 AF02D ; AF-Crostini de paté, manzanas e higos-Crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
 AF02D ; AF-Crostini de paté, manzanas e higos-Crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
 AF02D ; AF-Crostini de paté, manzanas e higos-Crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
 AF02D ; AF-Crostini de paté, manzanas e higos-Crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
 AF02D ; AF-Crostini de paté, manzanas e higos-Paté ; cebolla ; Fruton ; 0,160 ; kg ; 690 ; 110 ; 2 
 AF02D ; AF-Crostini de paté, manzanas e higos-Paté ; Pana de pollo ; Delicias y mas SpA ; 0,750 ; kg ; 1.600 ; 1.200 ; 12 
 AF02D ; AF-Crostini de paté, manzanas e higos-Paté ; Pulpa de cerdo deshuesada ; Pallet Steak ; 0,250 ; kg ; 4.992 ; 1.248 ; 13 
 AF02D ; AF-Crostini de paté, manzanas e higos-Paté ; Tocino ahumado ; Delicias y mas SpA ; 0,200 ; kg ; 12.390 ; 2.478 ; 25 
 AF02D ; AF-Crostini de paté, manzanas e higos-Paté ; manzana verde ; Fruton ; 0,240 ; kg ; 890 ; 214 ; 3 
 AF02D ; AF-Crostini de paté, manzanas e higos-Paté ; Oporto ; CAMBIAR ; 0,180 ; botella ; 5.512 ; 992 ; 10 
 AF02D ; AF-Crostini de paté, manzanas e higos-Paté ; Jerez zalamero ; CAMBIAR ; 0,150 ; botella ; 5.266 ; 790 ; 8 
; AF-Crostini de peras, jamon crudo y rúcula ; Jamón crudo ; Globe Italia ; 0,500 ; kg ; 21.780 ; 10.890 ; 109 
; AF-Crostini de peras, jamon crudo y rúcula ; Rucula ; Comercial Johnson ; 0,100 ; kg ; 11.765 ; 1.177 ; 12 
; AF-Crostini de peras, jamon crudo y rúcula ; Peras ; Comercial Valencia ; 0,286 ; kg ; 1.390 ; 397 ; 4 
; AF-Crostini de peras, jamon crudo y rúcula ; Mantequilla ; Cabezas y cia ; 0,025 ; kg ; 8.391 ; 210 ; 3 
; AF-Crostini de peras, jamon crudo y rúcula ; azúcar ; Delicias y mas SpA ; 0,100 ; kg ; 1.300 ; 130 ; 2 
; AF-Crostini de peras, jamon crudo y rúcula-Crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
; AF-Crostini de peras, jamon crudo y rúcula-Crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
; AF-Crostini de peras, jamon crudo y rúcula-Crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
; AF-Crostini de peras, jamon crudo y rúcula-Crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
; AF-Crostini de queso de cabra, tomate cherry y parmesano-Crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
; AF-Crostini de queso de cabra, tomate cherry y parmesano-Crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
; AF-Crostini de queso de cabra, tomate cherry y parmesano-Crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
; AF-Crostini de queso de cabra, tomate cherry y parmesano-Crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
; AF-Crostini de queso de cabra, tomate cherry y parmesano-Deco ; Queso de cabra ; artisan ; 1,000 ; kg ; 17.444 ; 17.444 ; 175 
; AF-Crostini de queso de cabra, tomate cherry y parmesano-Deco ; Tomate cherry ; Fruton ; 0,350 ; kg ; 1.980 ; 693 ; 7 
; AF-Crostini de queso de cabra, tomate cherry y parmesano-Deco ; Queso parmesano en trozo ; Don Jaime ; 0,150 ; kg ; 12.524 ; 1.879 ; 19 
; AF-crostini de queso fresco tomates y aji ; Pan Baguette ; Deli Meals ; 5,000 ; c/u ; 924 ; 4.620 ; 47 
; AF-crostini de queso fresco tomates y aji ; Queso de cabra ; artisan ; 2,000 ; kg ; 17.444 ; 34.888 ; 349 
; AF-crostini de queso fresco tomates y aji ; Tomate cherry ; Fruton ; 1,200 ; kg ; 1.980 ; 2.376 ; 24 
; AF-crostini de queso fresco tomates y aji ; ají verde ; Fruton ; 0,300 ; kg ; 1.290 ; 387 ; 4 
; AF-crostini de queso fresco tomates y aji ; Aceite de oliva ; Arasil ; 0,400 ; lt ; 5.782 ; 2.313 ; 24 
; AF-crostini de queso fresco tomates y aji ; Mantequilla ; Cabezas y cia ; 0,500 ; kg ; 8.391 ; 4.196 ; 42 
 AF02E ; AF-Crostini de queso, nuez, jamon serrano y peras caramelizadas-crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
 AF02E ; AF-Crostini de queso, nuez, jamon serrano y peras caramelizadas-crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
 AF02E ; AF-Crostini de queso, nuez, jamon serrano y peras caramelizadas-crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
 AF02E ; AF-Crostini de queso, nuez, jamon serrano y peras caramelizadas-crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
 AF02E ; AF-Crostini de queso, nuez, jamon serrano y peras caramelizadas-gajos peras ; Peras ; Comercial Valencia ; 0,280 ; kg ; 1.390 ; 389 ; 4 
 AF02E ; AF-Crostini de queso, nuez, jamon serrano y peras caramelizadas-gajos peras ; Azúcar Iansa ; Fruton ; 0,025 ; kg ; 1.300 ; 33 ; 1 
 AF02E ; AF-Crostini de queso, nuez, jamon serrano y peras caramelizadas-jamon deshilachado ; Jamón crudo ; Globe Italia ; 0,300 ; kg ; 21.780 ; 6.534 ; 66 
 AF02E ; AF-Crostini de queso, nuez, jamon serrano y peras caramelizadas-pasta de nuez ; Queso crema ; Delicias y mas SpA ; 0,700 ; kg ; 6.961 ; 4.873 ; 49 
 AF02E ; AF-Crostini de queso, nuez, jamon serrano y peras caramelizadas-pasta de nuez ; Nuez partida ; MIGUEL FARIAS ; 0,100 ; kg ; 8.900 ; 890 ; 9 
; AF-Crostini de salmon ahumado y caviar ; Salmón ahumado ; Southwind ; 0,700 ; kg ; 18.500 ; 12.950 ; 130 
; AF-Crostini de salmon ahumado y caviar ; Queso crema ; Delicias y mas SpA ; 0,500 ; kg ; 6.961 ; 3.481 ; 35 
; AF-Crostini de salmon ahumado y caviar ; caviar ; siruc ; 0,500 ; frasco ; 41.000 ; 20.500 ; 205 
; AF-Crostini de salmon ahumado y caviar-crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
; AF-Crostini de salmon ahumado y caviar-crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
; AF-Crostini de salmon ahumado y caviar-crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
; AF-Crostini de salmon ahumado y caviar-crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
; AF-Crostini de tomate cherry, ají amarillo y cilantro ; Tomate cherry ; Fruton ; 2,100 ; kg ; 1.980 ; 4.158 ; 42 
; AF-Crostini de tomate cherry, ají amarillo y cilantro ; Ají amarillo fresco ; Fruton ; 0,200 ; kg ; 4.900 ; 980 ; 10 
; AF-Crostini de tomate cherry, ají amarillo y cilantro ; Aceite de oliva ; Arasil ; 0,100 ; lt ; 5.782 ; 578 ; 6 
; AF-Crostini de tomate cherry, ají amarillo y cilantro ; cilantro ; Fruton ; 0,100 ; kg ; 1.980 ; 198 ; 2 
; AF-Crostini de tomate cherry, ají amarillo y cilantro-crostini ; Pan guagua ; MIGUEL FARIAS ; 1,080 ; kg ; 4.980 ; 5.378 ; 54 
; AF-Crostini de tomate cherry, ají amarillo y cilantro-crostini ; Aceite de oliva ; Arasil ; 0,050 ; lt ; 5.782 ; 289 ; 3 
; AF-Crostini de tomate cherry, ají amarillo y cilantro-crostini ; Mantequilla ; Cabezas y cia ; 0,100 ; kg ; 8.391 ; 839 ; 9 
; AF-Crostini de tomate cherry, ají amarillo y cilantro-crostini ; Orégano ; Fruton ; 0,010 ; kg ; 3.900 ; 39 ; 1 
; AF-Crostini rectangular, ricotta, rúcula,tomates cherry y alcachofas ; Ricotta ; Fruton ; 0,600 ; kg ; 6.890 ; 4.134 ; 42 
